Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;19;19;0;2;1;2;1;1;1;0;1;1;1;5;4;4;4;6;7;1
003;Mujeres;19;16;1;1;1;2;0;0;0;1;0;2;1;0;3;2;2;5;4;0
004;Hombres;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
004;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0
005 y 006;Hombres;1;3;4;2;0;3;3;5;10;4;8;14;13;10;10;7;7;3;8;1
005 y 006;Mujeres;1;1;0;0;3;3;1;3;4;3;2;3;3;6;8;4;4;6;6;1
010;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;0;0;1;0;0;3;0;0;0;0;0;1;1;2;4;1;10;7;12;1
012;Mujeres;0;0;0;0;1;0;1;0;1;0;1;1;2;2;3;2;8;3;15;0
013;Hombres;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
017;Mujeres;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
019;Hombres;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
019;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
020;Hombres;3;0;1;0;7;37;63;49;42;35;45;24;26;15;18;7;3;0;2;1
020;Mujeres;2;2;1;1;8;5;12;25;12;17;6;12;10;9;3;0;0;1;1;0
021;Mujeres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
023;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
025;Hombres;6;6;1;5;0;0;1;1;0;0;1;0;4;1;4;2;0;2;4;0
025;Mujeres;6;4;0;1;2;1;2;1;2;0;2;0;0;1;1;1;1;5;2;0
027;Hombres;0;0;0;0;0;0;0;2;1;0;2;1;3;7;12;9;3;2;5;0
027;Mujeres;0;0;0;0;0;0;0;1;0;0;1;0;5;1;4;0;3;1;2;0
028;Hombres;0;0;0;0;0;0;0;0;0;1;0;3;1;4;3;6;7;2;5;0
028;Mujeres;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;1;2;0;0
029;Hombres;0;0;0;0;1;1;1;6;2;5;3;15;12;13;20;22;35;24;34;0
029;Mujeres;0;0;0;0;0;0;0;3;7;8;10;13;15;6;12;13;12;5;19;1
030;Hombres;0;0;0;0;0;0;1;1;1;3;8;9;15;17;18;29;25;17;16;0
030;Mujeres;0;0;0;0;0;0;0;0;0;8;5;9;10;14;22;14;21;21;21;0
031;Hombres;0;0;0;0;0;1;0;0;0;4;1;1;3;7;6;20;15;15;16;1
031;Mujeres;0;0;0;0;0;0;2;0;1;4;3;3;6;6;14;12;8;14;8;0
032;Hombres;0;0;0;0;0;0;0;0;2;1;2;3;7;11;10;6;7;10;8;0
032;Mujeres;0;0;0;0;0;0;0;0;1;1;2;2;5;6;8;6;10;12;11;0
033;Hombres;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;4;3;4;2;0
033;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0
034;Hombres;0;0;0;0;0;0;0;0;0;2;2;4;13;16;26;26;33;18;29;0
034;Mujeres;0;0;0;0;0;0;1;1;0;2;4;4;6;12;10;13;16;16;18;0
035;Hombres;0;0;0;0;0;0;0;0;0;1;1;3;2;3;5;4;1;3;3;0
035;Mujeres;0;0;0;0;0;0;0;0;0;2;2;0;0;3;1;2;0;0;5;0
036;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0
036;Mujeres;0;0;0;0;0;0;2;6;5;9;24;26;34;34;29;21;22;25;27;1
041;Hombres;0;0;0;0;0;0;0;0;0;0;0;2;1;5;4;4;3;5;8;0
041;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;6;0
042;Hombres;0;0;2;1;2;1;0;1;0;5;2;6;2;3;4;3;5;3;6;0
042;Mujeres;0;0;2;1;1;0;0;2;0;1;1;3;1;2;1;7;2;0;2;0
043;Hombres;0;0;0;1;0;2;0;1;2;4;3;5;5;4;5;8;5;5;5;0
043;Mujeres;0;1;0;0;0;0;1;1;1;2;0;3;1;6;6;6;3;4;9;0
044;Hombres;0;0;0;0;0;0;0;0;0;1;1;1;5;4;3;5;3;2;6;0
044;Mujeres;0;0;0;0;0;0;0;0;0;0;2;2;5;5;4;7;2;0;4;0
045;Hombres;0;0;3;4;3;4;3;2;2;5;4;3;3;5;7;4;7;4;4;0
045;Mujeres;1;3;9;8;3;5;2;3;1;5;4;6;6;8;6;0;10;4;9;0
046;Hombres;0;0;1;4;6;7;4;11;5;10;14;27;33;31;28;44;43;28;40;0
046;Mujeres;0;2;1;1;1;4;1;4;6;5;13;18;17;28;30;37;31;31;34;0
047;Hombres;0;0;0;0;1;4;1;1;1;1;3;5;8;12;22;19;18;15;22;1
047;Mujeres;1;1;2;0;1;1;3;1;1;3;5;4;9;15;10;12;17;16;17;0
049;Hombres;0;2;1;3;0;5;2;2;1;1;2;3;1;2;1;4;7;3;18;0
049;Mujeres;4;1;1;1;0;0;2;2;1;3;0;0;2;4;3;1;5;4;12;0
050;Hombres;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;2;2;0
050;Mujeres;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;2;1;3;0
052;Hombres;0;0;0;0;0;1;1;3;1;8;24;32;63;79;100;95;101;83;100;0
052;Mujeres;0;1;1;0;2;1;2;2;5;3;20;27;45;67;71;93;93;111;165;1
053;Hombres;11;12;2;0;0;0;0;1;0;1;0;0;4;3;3;5;8;8;13;0
053;Mujeres;7;9;1;0;0;0;0;0;0;0;0;1;0;1;1;0;2;3;12;0
054;Hombres;2;2;0;0;3;2;2;0;3;6;1;3;3;4;3;7;9;6;32;0
054;Mujeres;0;1;0;0;0;0;0;1;2;1;4;2;3;4;3;3;6;5;30;0
056;Hombres;0;0;0;1;0;0;0;3;2;4;2;6;4;5;5;4;1;0;1;0
056;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
057;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;7;4;15;1
057;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;4;12;41;0
059;Hombres;2;1;0;0;0;0;1;1;1;1;2;0;1;0;1;0;1;0;0;0
059;Mujeres;4;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;0
060;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;7;9;11;37;0
060;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;9;14;20;88;1
061;Hombres;3;11;8;8;7;15;9;4;8;11;6;10;8;8;12;19;23;34;25;0
061;Mujeres;7;3;1;8;9;3;1;1;4;2;10;5;12;12;12;13;17;19;21;1
063;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
065;Hombres;0;0;0;0;0;0;0;1;0;2;1;0;0;3;3;2;1;1;1;0
065;Mujeres;0;0;0;0;0;1;2;2;0;0;2;2;0;2;0;1;1;0;2;0
066;Hombres;0;0;0;0;0;1;1;2;5;6;11;22;33;37;56;75;75;87;110;1
066;Mujeres;0;0;0;0;0;0;1;1;3;2;6;5;12;19;24;30;58;73;205;0
067;Hombres;0;0;0;0;0;1;3;4;7;16;33;53;82;79;121;125;132;133;269;2
067;Mujeres;0;0;0;0;0;2;1;0;1;7;15;20;18;42;57;58;94;88;298;2
068;Hombres;0;2;2;2;4;2;3;4;8;21;25;29;37;37;62;75;86;102;232;2
068;Mujeres;0;4;1;6;2;8;2;4;9;8;12;15;24;21;31;43;57;74;271;1
069;Hombres;0;0;0;2;0;1;1;5;6;10;22;30;52;48;86;116;163;145;277;0
069;Mujeres;0;0;0;2;2;1;2;1;7;6;18;25;27;34;40;61;106;128;342;1
070;Hombres;0;0;0;0;0;0;0;0;0;0;1;3;3;3;4;4;9;7;13;0
070;Mujeres;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;2;1;3;6;0
071;Hombres;0;0;0;0;0;0;0;0;1;5;5;4;5;12;14;7;12;9;17;0
071;Mujeres;0;0;0;0;0;0;0;2;0;0;3;1;7;0;4;7;3;7;30;0
073;Hombres;4;3;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0
073;Mujeres;4;4;0;0;0;0;0;2;0;0;0;1;0;0;1;0;1;1;0;0
074;Hombres;44;24;0;1;1;2;4;3;2;3;3;7;6;6;16;11;16;26;80;0
074;Mujeres;27;13;0;3;0;0;4;0;3;1;2;4;7;8;9;12;17;13;79;1
075;Hombres;10;6;0;0;0;1;0;0;1;0;2;0;0;2;1;2;7;4;22;0
075;Mujeres;5;2;0;0;0;0;0;0;2;0;0;2;2;1;1;1;3;2;19;0
076;Hombres;2;1;0;0;0;1;0;1;1;2;2;2;10;12;12;29;37;46;111;0
076;Mujeres;1;5;0;0;0;0;0;1;0;0;1;6;6;9;11;18;24;43;133;0
077;Hombres;12;4;1;1;5;2;6;7;2;10;6;11;15;11;18;32;46;55;87;1
077;Mujeres;11;9;1;0;1;1;1;6;3;3;5;6;10;16;14;20;26;33;117;0
079;Hombres;0;0;0;0;0;0;0;2;0;0;1;1;2;2;7;3;5;2;3;0
079;Mujeres;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;5;0
080;Hombres;1;0;0;1;0;2;2;1;0;10;16;24;33;30;19;42;22;17;21;1
080;Mujeres;2;1;0;1;3;0;2;2;2;3;7;11;8;20;15;13;14;18;21;0
081;Hombres;5;9;1;2;1;4;4;10;5;14;8;9;17;9;16;22;24;24;63;2
081;Mujeres;4;8;1;4;2;4;3;1;1;0;6;10;10;8;8;12;27;24;84;0
082;Hombres;0;1;0;0;1;1;0;1;1;1;0;2;3;1;5;12;10;10;22;0
082;Mujeres;0;0;0;0;0;1;1;2;0;0;0;0;3;4;3;4;10;12;47;0
083;Hombres;0;0;0;0;1;3;0;3;0;0;1;1;2;2;3;3;3;8;4;0
083;Mujeres;0;0;0;1;1;1;6;3;1;5;8;4;1;5;4;4;7;9;22;0
085;Hombres;0;2;0;0;0;1;0;1;0;0;1;2;1;3;1;4;4;1;0;0
085;Mujeres;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;2;2;3;2;0
086;Hombres;0;3;2;0;1;1;1;3;7;8;16;24;28;37;50;62;76;66;151;0
086;Mujeres;0;1;0;0;2;3;0;6;7;8;8;8;17;19;18;44;30;54;101;0
092;Hombres;288;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
092;Mujeres;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
093;Hombres;148;20;5;7;5;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0
093;Mujeres;123;15;5;1;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0
094;Hombres;21;22;2;4;7;13;12;12;25;7;20;19;15;25;23;30;33;36;116;2
094;Mujeres;24;9;7;0;6;9;5;2;10;8;5;7;4;9;16;27;18;27;140;2
095;Hombres;8;23;15;24;81;168;158;145;100;92;72;60;75;47;46;28;35;18;26;2
095;Mujeres;2;13;6;6;12;20;16;18;18;9;9;13;13;7;7;7;16;6;10;0
095;Hombres;0;4;1;5;10;41;35;26;25;24;23;17;36;16;17;10;11;2;5;0
095;Mujeres;0;1;1;0;1;3;7;8;4;4;4;7;7;2;3;5;4;1;1;0
095;Hombres;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0
095;Mujeres;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;1;1;3;0;2;3;0;3;2;0;4;5;2;2;2;2;2;0
095;Mujeres;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
095;Hombres;0;11;4;6;9;12;6;6;4;5;4;5;2;0;1;3;1;2;2;1
095;Mujeres;0;4;2;0;1;2;0;0;1;1;1;0;0;0;1;0;0;0;0;0
095;Hombres;3;1;1;1;0;0;0;0;0;1;0;2;1;0;2;2;0;0;2;0
095;Mujeres;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
095;Hombres;0;0;0;0;2;0;2;6;2;2;2;1;1;2;0;0;0;0;0;0
095;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
095;Hombres;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
095;Hombres;1;3;3;1;3;0;0;0;0;1;2;2;1;1;1;1;0;1;0;0
095;Mujeres;0;2;1;2;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0
095;Hombres;0;0;0;4;8;11;8;14;5;6;6;5;7;5;2;4;5;2;1;0
095;Mujeres;0;0;0;0;1;0;2;0;0;0;1;1;0;1;1;0;0;1;0;0
095;Hombres;0;0;1;2;34;78;77;73;46;33;20;17;11;6;6;0;3;3;0;0
095;Mujeres;0;1;2;1;7;11;6;6;4;2;3;1;0;1;0;0;3;0;1;0
095;Hombres;3;2;3;4;12;25;23;16;17;17;12;10;12;11;15;6;13;6;14;1
095;Mujeres;0;2;0;3;1;2;0;4;6;2;0;2;6;1;1;2;6;3;4;0
